variable,mannwhitney_stat,mannwhitney_p_value,ks_stat,ks_p_value,point_biserial_corr,point_biserial_p_value,auc,auc_abs,auc_interpretation,cohens_d,cohens_d_interpretation,logit_beta,logit_odds_ratio,logit_p_value,logit_separation_detected
d,330457808.5,8.715850776764839e-183,0.16511855134188275,8.524834636912445e-123,-0.078938652428017,2.561550447412613e-144,0.3851164564517983,0.6148835435482016,separación débil,-0.3575602179442626,pequeño,-0.020009079567552848,0.9801897735670888,4.337103041524211e-138,False
d_log,330457808.5,8.715850776764839e-183,0.16511855134188275,8.524834636912445e-123,-0.08888069673703813,1.4511724760057206e-182,0.3851164564517983,0.6148835435482016,separación débil,-0.4029320531135476,pequeño,-0.3205527181550894,0.7257477922154735,2.564285612177273e-175,False
j_freq_enc,235597307.5,5.692888391101343e-59,0.09738231726760915,4.798543099734501e-43,0.045557683952560143,2.3374529144842626e-49,0.5650708540720387,0.5650708540720387,casi aleatorio,0.20570434180508707,pequeño,53.700886380791935,2.0989332551499385e+23,2.4093397725761965e-48,True
h,304605197.5,2.419809595230624e-54,0.09358340036506185,8.847497428698638e-40,-0.03718281423604653,1.903541068825507e-33,0.4376774514119056,0.5623225485880944,casi aleatorio,-0.16783145013668052,despreciable,-0.013188190514358102,0.9868983926272298,3.6537253310713826e-33,False
h_log,304605197.5,2.419809595230624e-54,0.09358340036506185,8.847497428698638e-40,-0.053296097931409846,6.606211347714077e-67,0.4376774514119056,0.5623225485880944,casi aleatorio,-0.240737504969405,pequeño,-0.20585624558431895,0.8139500767907321,3.4005185619368317e-66,False
b,179823177.5,8.733581151992195e-46,0.10550698536472791,1.7600121340273697e-43,0.03927242065442032,7.217988762974349e-33,0.5615380035328362,0.5615380035328362,casi aleatorio,0.17929081715938286,despreciable,1.5396548357806648,4.662980499162521,4.919800976913619e-33,False
b_log,179823177.5,8.733581151992195e-46,0.10550698536472791,1.7600121340273697e-43,0.03317252254793031,6.414288634305344e-24,0.5615380035328362,0.5615380035328362,casi aleatorio,0.1514093823594404,despreciable,2.1286309364097624,8.403354206214416,4.771352572711297e-24,False
monto,238735773.0,3.0711983553736707e-49,0.08950829106820435,2.0158297185738968e-36,0.07161298649392894,2.1273922988216222e-119,0.5592770267404621,0.5592770267404621,casi aleatorio,0.3238462975011087,pequeño,0.0018276109566886585,1.0018292820554775,2.2818256673613886e-81,False
monto_log,238735773.0,3.0711983553736707e-49,0.08950829106820435,2.0158297185738968e-36,0.05818776774695843,2.0495430040530452e-79,0.5592770267404621,0.5592770267404621,casi aleatorio,0.26290498918953864,pequeño,0.23410322842553985,1.263774942972148,6.748655250573181e-79,False
fecha_hour_cos,246247275.0,1.0242949050353332e-29,0.082997526720194,2.273764891197224e-31,0.04279766700672614,9.237755920193179e-44,0.5454102674631042,0.5454102674631042,casi aleatorio,0.1932185678086957,despreciable,0.28871638336915584,1.334713128001836,2.279184871518982e-43,False
a_freq_enc,294998529.0,7.183323405584004e-72,0.08763077316011525,6.320794496059206e-35,-0.05509396364329366,2.240225447381647e-71,0.455412034927543,0.544587965072457,casi aleatorio,-0.24888275194247916,pequeño,-0.7569767034356532,0.4690824607783787,1.6213566460767714e-69,False
g_freq_enc,250875926.5,1.5721084290588852e-34,0.07144102264397342,2.4009238440496428e-23,0.03816842080495348,3.7408078646037954e-35,0.5368654523077222,0.5368654523077222,casi aleatorio,0.17228657266427716,despreciable,0.7657917718010315,2.1506965615845273,1.2657240205637072e-34,False
e_log,286202856.5,1.5558084010353304e-13,0.0727209159694771,3.557596166508003e-24,-0.011564609365256178,0.00017888840165608113,0.4716494629732224,0.5283505370267776,casi aleatorio,-0.052166376780384986,despreciable,-0.26290725496141926,0.7688131976144087,0.00017243006926466424,False
e,286202856.5,1.5558084010353304e-13,0.0727209159694771,3.557596166508003e-24,-0.0014162116271860376,0.6463359536238173,0.4716494629732224,0.5283505370267776,casi aleatorio,-0.006387916846809877,despreciable,-0.008730868261361827,0.9913071350877687,0.6353458603023316,False
c_log,200823750.0,0.01708936069521937,0.05253362672462085,4.355183339264512e-11,-0.009365194449473263,0.004419577879551008,0.5103324077174501,0.5103324077174501,casi aleatorio,-0.04272391586647701,despreciable,-0.018595547258500714,0.9815762831882391,0.0044205177236512185,False
c,200823750.0,0.01708936069521937,0.05253362672462085,4.355183339264512e-11,0.03503157987947571,1.727222540866226e-26,0.5103324077174501,0.5103324077174501,casi aleatorio,0.15990482893350808,despreciable,1.3727687745922216e-07,1.000000137276887,2.3073119443325875e-25,False
fecha_hour,265273584.5,0.010349995778331293,0.04647998755335231,3.9869201721766546e-10,-0.0012063959439098028,0.6958880946882555,0.5102863663081809,0.5102863663081809,casi aleatorio,-0.005441527739090347,despreciable,-0.001076732913601949,0.9989238465552853,0.6958852213034203,False
fecha_hour_sin,272793560.0,0.3697649781348563,0.029865493227712148,0.00019684434637560043,-0.004230643221748804,0.17045263440924235,0.4964039643557978,0.5035960356442022,casi aleatorio,-0.019082749599822486,despreciable,-0.028848961194549206,0.9715631971298773,0.1704680562990113,False
